var,rhiz,aph,nod
me,1,0,26
me,1,0,29
me,1,0,44
me,1,0,21
me,1,0,23
me,1,0,11
w,1,0,10
w,1,0,81
w,1,0,46
w,1,0,21
w,1,0,32
w,1,0,26
l,1,0,0
l,1,0,0
l,1,0,3
l,1,0,14
l,1,0,15
l,1,0,3
mi,1,0,7
mi,1,0,23
mi,1,0,26
mi,1,0,20
mi,1,0,33
mi,1,0,10
d,1,0,13
d,1,0,1
d,1,0,15
d,1,0,81
d,1,0,7
d,1,0,13
k,1,0,0
k,1,0,4
k,1,0,25
k,1,0,32
k,1,0,18
k,1,0,11
me,1,1,19
me,1,1,29
me,1,1,28
me,1,1,17
me,1,1,34
me,1,1,36
w,1,1,18
w,1,1,22
w,1,1,58
w,1,1,0
w,1,1,0
w,1,1,29
l,1,1,7
l,1,1,64
l,1,1,22
l,1,1,3
l,1,1,22
l,1,1,0
mi,1,1,15
mi,1,1,28
mi,1,1,42
mi,1,1,27
mi,1,1,19
mi,1,1,34
d,1,1,28
d,1,1,3
d,1,1,32
d,1,1,47
d,1,1,59
d,1,1,36
k,1,1,16
k,1,1,9
k,1,1,41
k,1,1,0
k,1,1,26
k,1,1,21
me,1,2,39
me,1,2,0
me,1,2,26
me,1,2,31
me,1,2,38
me,1,2,33
w,1,2,42
w,1,2,29
w,1,2,2
w,1,2,17
w,1,2,34
w,1,2,79
l,1,2,41
l,1,2,27
l,1,2,34
l,1,2,11
l,1,2,24
l,1,2,31
mi,1,2,34
mi,1,2,19
mi,1,2,16
mi,1,2,12
mi,1,2,52
mi,1,2,17
d,1,2,37
d,1,2,42
d,1,2,79
d,1,2,91
d,1,2,76
d,1,2,46
k,1,2,0
k,1,2,36
k,1,2,67
k,1,2,32
k,1,2,0
k,1,2,26
