var,rhiz,aph,nym
me,1,1,12
me,1,1,11
me,1,1,18
me,1,1,13
me,1,1,19
me,1,1,11
w,1,1,26
w,1,1,5
w,1,1,17
w,1,1,23
w,1,1,27
w,1,1,17
l,1,1,13
l,1,1,16
l,1,1,11
l,1,1,5
l,1,1,15
l,1,1,11
mi,1,1,33
mi,1,1,13
mi,1,1,8
mi,1,1,18
mi,1,1,30
mi,1,1,25
d,1,1,8
d,1,1,30
d,1,1,30
d,1,1,0
d,1,1,29
d,1,1,23
k,1,1,29
k,1,1,19
k,1,1,23
k,1,1,19
k,1,1,29
k,1,1,19
me,0,1,25
me,0,1,23
me,0,1,9
me,0,1,11
me,0,1,22
me,0,1,16
w,0,1,26
w,0,1,21
w,0,1,25
w,0,1,39
w,0,1,27
w,0,1,26
l,0,1,12
l,0,1,8
l,0,1,14
l,0,1,7
l,0,1,24
l,0,1,18
mi,0,1,19
mi,0,1,14
mi,0,1,31
mi,0,1,14
mi,0,1,22
mi,0,1,7
d,0,1,11
d,0,1,21
d,0,1,41
d,0,1,32
d,0,1,9
d,0,1,16
k,0,1,17
k,0,1,6
k,0,1,21
k,0,1,4
k,0,1,19
k,0,1,24
me,1,2,26
me,1,2,11
me,1,2,8
me,1,2,20
me,1,2,4
me,1,2,4
w,1,2,45
w,1,2,37
w,1,2,26
w,1,2,23
w,1,2,35
w,1,2,33
l,1,2,21
l,1,2,6
l,1,2,13
l,1,2,46
l,1,2,33
l,1,2,20
mi,1,2,12
mi,1,2,2
mi,1,2,10
mi,1,2,11
mi,1,2,12
mi,1,2,26
d,1,2,59
d,1,2,31
d,1,2,37
d,1,2,36
d,1,2,29
d,1,2,46
k,1,2,57
k,1,2,20
k,1,2,66
k,1,2,50
k,1,2,44
k,1,2,50
me,0,2,27
me,0,2,26
me,0,2,35
me,0,2,26
me,0,2,22
me,0,2,9
w,0,2,14
w,0,2,63
w,0,2,25
w,0,2,29
w,0,2,43
w,0,2,37
l,0,2,45
l,0,2,48
l,0,2,65
l,0,2,27
l,0,2,53
l,0,2,47
mi,0,2,45
mi,0,2,46
mi,0,2,40
mi,0,2,49
mi,0,2,45
mi,0,2,21
d,0,2,21
d,0,2,14
d,0,2,19
d,0,2,28
d,0,2,13
d,0,2,17
k,0,2,41
k,0,2,64
k,0,2,33
k,0,2,22
k,0,2,64
k,0,2,44
